PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5PM,Warwickshire PCT,0.41%,3.83%,4.30%,93.19%,89.04%,95.70%,55.42%,93.70%,92.70%,82.63%,84.67%,86.75%,40.39%,21.35%,62.17%,92.17%,37.88%,76.57%,34.92%,43.44%,18.31%
5PV,West Essex PCT,0.37%,4.00%,4.51%,90.52%,89.11%,95.42%,67.87%,92.81%,91.07%,80.29%,83.34%,84.09%,49.60%,25.96%,64.54%,91.90%,37.93%,77.31%,36.43%,44.70%,20.25%
5P9,West Kent PCT,0.43%,3.63%,4.13%,91.50%,88.36%,94.67%,58.71%,91.07%,89.19%,79.96%,82.70%,83.52%,42.16%,28.29%,64.94%,92.96%,38.33%,76.50%,32.38%,41.20%,17.57%
5P6,West Sussex PCT,0.43%,3.96%,4.46%,92.03%,88.12%,94.11%,72.15%,89.85%,89.99%,82.14%,82.75%,81.13%,50.09%,20.70%,63.69%,92.83%,39.36%,77.04%,35.79%,42.76%,19.57%
5NN,Western Cheshire PCT,0.42%,3.94%,4.40%,94.42%,91.63%,96.12%,77.33%,94.41%,93.03%,81.19%,86.56%,88.30%,58.90%,26.84%,69.03%,93.99%,46.15%,80.29%,41.42%,49.37%,24.91%
5LC,Westminster PCT,0.31%,3.20%,3.59%,90.69%,87.99%,94.20%,72.25%,90.98%,90.56%,76.01%,82.40%,84.05%,50.45%,26.68%,64.54%,91.79%,42.25%,78.83%,37.76%,46.60%,21.21%
5QK,Wiltshire PCT,0.42%,3.75%,4.25%,92.77%,89.26%,95.12%,71.58%,94.39%,92.61%,82.23%,84.66%,83.62%,50.12%,22.96%,61.54%,92.95%,39.68%,78.35%,36.11%,43.58%,19.10%
5NK,Wirral PCT,0.45%,4.39%,4.86%,93.55%,91.61%,95.39%,76.30%,92.47%,92.25%,81.03%,84.09%,88.41%,55.74%,28.89%,71.62%,94.46%,41.22%,78.12%,37.10%,48.73%,21.80%
5MV,Wolverhampton City PCT,0.50%,5.43%,5.95%,94.49%,92.61%,95.90%,87.73%,95.27%,94.39%,83.86%,88.74%,84.04%,63.38%,19.62%,55.83%,90.36%,36.09%,73.55%,33.34%,41.81%,15.00%
5PL,Worcestershire PCT,0.45%,4.14%,4.72%,93.61%,90.00%,95.43%,52.69%,94.07%,92.31%,81.56%,84.94%,88.11%,40.21%,25.28%,66.02%,93.48%,39.66%,76.58%,36.11%,44.26%,20.31%
